,features,importance_vals
652,hsa.mir.155,0.0023882854197290727
77,R-HSA-2559584,0.0023866258374619065
617,hsa.mir.1269a,0.0023812309818458744
327,R-HSA-1483191,0.0023604095424525438
409,R-HSA-171306,0.0023603415294201112
325,R-HSA-5663220,0.002347949837676424
82,R-HSA-3928665,0.0023440781283716205
63,R-HSA-5654726,0.00233145250492953
835,hsa.mir.4492,0.0023267516615669594
705,hsa.mir.301a,0.0023264344752533363
669,hsa.mir.193b,0.0023166992644291897
225,R-HSA-202424,0.0023094029897765722
678,hsa.mir.205,0.0023042663151954914
311,R-HSA-2129379,0.0022895340017498713
635,hsa.mir.135b,0.002280844067590806
521,R-HSA-190840,0.002269937396486057
816,hsa.mir.421,0.0022635095872010425
993,hsa.mir.6506,0.0022556966850243044
159,R-HSA-5696394,0.0022555674526665826
757,hsa.mir.337,0.002247724296493061
752,hsa.mir.324,0.0022431719081214396
570,R-HSA-140534,0.002214376953224928
794,hsa.mir.376b,0.0021920519439299823
427,R-HSA-5620922,0.0021817286019359017
337,R-HSA-977606,0.002180784432166547
631,hsa.mir.1306,0.00217018293475121
1032,hsa.mir.6777,0.0021626329571654422
988,hsa.mir.641,0.0021616775810252876
189,R-HSA-167162,0.002159563435270684
190,R-HSA-167172,0.002146674089563021
265,R-HSA-191859,0.0021418903743688133
160,R-HSA-5696395,0.002140935588024604
417,R-HSA-1855204,0.00213950527841007
863,hsa.mir.4665,0.002132942638309032
121,R-HSA-5610787,0.0021304822513411635
643,hsa.mir.148b,0.0021196590903855396
345,R-HSA-5389840,0.002108267723706376
350,R-HSA-114508,0.0021003117006330287
802,hsa.mir.3913.1,0.002090386914269402
845,hsa.mir.4529,0.0020792840915964915
564,R-HSA-975577,0.002077594288348337
769,hsa.mir.3614,0.002075989946260961
243,R-HSA-2173795,0.0020711414626566694
611,hsa.mir.1251,0.0020677491983224173
753,hsa.mir.326,0.0020617862874587447
251,R-HSA-606279,0.0020609665678421154
242,R-HSA-2173788,0.002055599356681341
606,hsa.mir.1243,0.0020524205086985604
349,R-HSA-1461957,0.0020380150652908923
220,R-HSA-1170546,0.0020227431727107615
145,R-HSA-6782315,0.002006683432555292
818,hsa.mir.425,0.002005188424936932
299,R-HSA-2467813,0.0019904526739992433
925,hsa.mir.5091,0.00198806938391499
117,R-HSA-400042,0.00197775884080329
137,R-HSA-983231,0.0019775126543845546
595,hsa.mir.10b,0.001974914534621348
891,hsa.mir.4775,0.0019677437350037507
231,R-HSA-5607764,0.0019677125199086733
465,R-HSA-211733,0.001963633234263398
110,R-HSA-4420097,0.001961315274558615
358,R-HSA-1963642,0.001957853941639769
740,hsa.mir.3190,0.0019535169142181983
126,R-HSA-5674135,0.0019513357730465942
983,hsa.mir.627,0.0019482572215565597
72,R-HSA-450513,0.0019445542824541918
252,R-HSA-2408557,0.001942814368303516
24,R-HSA-163210,0.0019353939408028964
758,hsa.mir.338,0.0019346259421763534
192,R-HSA-167238,0.0019338555099238874
96,R-HSA-1227986,0.0019326763473145546
844,hsa.mir.4524a,0.0019281843783392105
271,R-HSA-201681,0.0019212140701711177
725,hsa.mir.3150a,0.0019176053430419416
297,R-HSA-176409,0.0019074555749830325
691,hsa.mir.2276,0.001905437719760812
1004,hsa.mir.6516,0.001900394521508133
895,hsa.mir.4785,0.0018967484723543748
86,R-HSA-6782210,0.0018960043587139808
668,hsa.mir.1914,0.0018885934364516288
140,R-HSA-6799198,0.0018816532488563097
896,hsa.mir.4786,0.0018756730266977684
670,hsa.mir.195,0.0018702240705715668
398,R-HSA-983170,0.0018603673714460455
976,hsa.mir.600,0.0018558980815578253
810,hsa.mir.3934,0.0018546596930809755
666,hsa.mir.191,0.0018350700277733267
882,hsa.mir.4746,0.001832112771608081
1052,hsa.mir.6842,0.0018296755343908443
677,hsa.mir.204,0.0018293668906517269
768,hsa.mir.3610,0.001828841457463568
747,hsa.mir.3200,0.0018144202286384825
1007,hsa.mir.656,0.0018070237789288512
905,hsa.mir.487a,0.001799568399292184
210,R-HSA-162588,0.0017875969169381279
751,hsa.mir.320c.2,0.001783616649790929
